name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
"BULLSHIT/USD",true,false,0.025,0.001,0.001,65.1,64.425,64.95,64.95,"spot","BULLSHIT","USD","",false,true,0.013655872024970737,0.10224862112855325,0.09991532599491956,1659.2903,1659.2903
"BVOL/BTC",true,false,0.00005,0.0001,0.0001,0.0275,0.02655,0.0273,0.0273,"spot","BVOL","BTC","",false,true,-0.0018281535648994515,-0.053726169844020795,-0.042105263157894736,0.0118511,420.3637427439671
"BVOL/USD",true,false,0.1,0.0001,0.0001,966.3,950,961.6,961.6,"spot","BVOL","USD","",false,true,-0.0039361922519163045,-0.03695543314972459,-0.03308195072900955,4556.94479,4556.94479
"BVOL/USDT",true,false,0.1,0.0001,0.0001,966.8,947.8,962.6,962.6,"spot","BVOL","USDT","",false,true,-0.0026937422295897225,-0.03537428600060126,-0.025412574668421586,2227.01144,2226.826108107963
"COMPBEAR/USD",true,false,1e-8,10000,10000,0.00001049,0.0000106,0.00001104,0.0000106,"spot","COMPBEAR","USD","",false,true,-0.0798611111111111,-0.4834307992202729,-0.44531658817373104,11410.7996,11410.7996
"COMPBEAR/USDT",true,false,1e-8,10000,10000,0.00001062,0.00001059,0.00001104,0.00001062,"spot","COMPBEAR","USDT","",false,true,-0.06842105263157895,-0.446875,-0.44427001569858715,782.7193,782.654162099854
"COMPBULL/USD",true,false,0.0025,0.01,0.01,14.43,13.775,14.105,14.105,"spot","COMPBULL","USD","",false,true,0.054185351270553066,0.6497076023391812,0.5398471615720524,664447.108125,664447.108125
"COMPBULL/USDT",true,false,0.0025,0.01,0.01,13.395,13.7425,14.295,13.7425,"spot","COMPBULL","USDT","",false,true,0.025942515864128407,0.6054322429906542,0.5290681502086231,1397.22095,1397.104673272541
"COMPHALF/USD",true,false,1,0.00001,0.00001,18063,18412,18463,18412,"spot","COMPHALF","USD","",false,true,0.00689051733566663,0.09817487772873673,0.08766540642722118,37985.56685,37985.56685
"COMPHEDGE/USD",true,false,0.005,0.001,0.001,65.305,65.975,66.21,65.975,"spot","COMPHEDGE","USD","",false,true,-0.016619466388433448,-0.1889981561155501,-0.1716886377903327,87713.225595,87713.225595
"CUSDTBEAR/USD",true,false,2.5,0.00001,0.00001,10127.5,10127.5,10195,10127.5,"spot","CUSDTBEAR","USD","",false,true,0,-0.0004934616333580064,0.0004939491232403062,41.356625,41.356625
"CUSDTBEAR/USDT",true,false,2.5,0.00001,0.00001,10170,10122.5,10190,10170,"spot","CUSDTBEAR","USDT","",false,true,0,0,0,0,0
"CUSDTBULL/USD",true,false,1,0.00001,0.00001,4031,4013,4040,4031,"spot","CUSDTBULL","USD","",false,true,0,0,0,0,0
"CUSDTBULL/USDT",true,false,1,0.00001,0.00001,4037,4011,4039,4037,"spot","CUSDTBULL","USDT","",false,true,0,0.00273224043715847,0.00273224043715847,9.97139,9.9705601809242
"CUSDTHALF/USD",true,false,0.25,0.00001,0.00001,5365.75,5360.5,5360.75,5360.75,"spot","CUSDTHALF","USD","",false,true,0.00009327923137913344,0.00004663744053726331,0.00018657586641167965,0,0
"CUSDTHEDGE/USD",true,false,0.5,0.00001,0.00001,6607.5,6531,6555.5,6555.5,"spot","CUSDTHEDGE","USD","",false,true,-0.0000762660158633313,-0.0008382868465172992,-0.0005336179295624333,0,0
"DEFIBEAR/USD",true,false,0.000005,10,10,0.013175,0.01288,0.013025,0.013025,"spot","DEFIBEAR","USD","",false,true,-0.03231797919762259,-0.2106060606060606,-0.2060347455044194,14193.24315,14193.24315
"DEFIBEAR/USDT",true,false,0.000005,10,10,0.01349,0.01287,0.01305,0.01305,"spot","DEFIBEAR","USDT","",false,true,-0.03261675315048184,-0.22228843861740166,-0.20644572818485862,1082.0285,1081.93845358823
"DEFIBULL/USD",true,false,0.01,0.001,0.001,57,56.43,56.98,56.98,"spot","DEFIBULL","USD","",false,true,0.032433411849972824,0.21960616438356165,0.21492537313432836,37301.38223,37301.38223
"DEFIBULL/USDT",true,false,0.01,0.001,0.001,57.78,56.25,57.06,57.06,"spot","DEFIBULL","USDT","",false,true,0.034632819582955575,0.22974137931034483,0.22053475935828876,306.07398,306.0485085233844
"DEFIHALF/USD",true,false,0.5,0.00001,0.00001,12460,14173.5,14220.5,14173.5,"spot","DEFIHALF","USD","",false,true,0.004215672382032025,0.036453382084095064,0.03384514387833254,0,0
"DEFIHEDGE/USD",true,false,0.025,0.001,0.001,311.475,271.35,271.95,271.95,"spot","DEFIHEDGE","USD","",false,true,-0.009379837901830435,-0.07310838445807771,-0.06738683127572016,0,0
"DOGEBEAR2021/USD",true,false,0.025,0.001,0.001,56.525,56.825,57,56.825,"spot","DOGEBEAR2021","USD","",false,true,0.005752212389380531,-0.02571795970852979,-0.02946199829205807,83307.89435,83307.89435
"DOGEBULL/USD",true,false,0.1,0.001,0.001,276.2,276.2,277.9,276.2,"spot","DOGEBULL","USD","",false,true,-0.012160228898426323,0.015067989709665565,0.02182759896411395,149280.3207,149280.3207
"DOGEHALF/USD",true,false,5,0.000001,0.000001,138840,139335,139870,139335,"spot","DOGEHALF","USD","",false,true,-0.0008604926320318382,0.0034207115079936627,0.003565254969749352,0,0
"DOGEHEDGE/USD",true,false,0.0001,0.1,0.1,0.7635,0.7684,0.7745,0.7684,"spot","DOGEHEDGE","USD","",false,true,0.0007814535035165407,-0.008260196179659268,-0.009666194097177472,89.34061,89.34061
"DRGNBEAR/USD",true,false,1e-7,1000,1000,0.0002601,0.0002639,0.0002678,0.0002639,"spot","DRGNBEAR","USD","",false,true,-0.006026365348399247,-0.06418439716312056,-0.07856145251396648,78.0581,78.0581
"DRGNBULL/USD",true,false,0.0025,0.01,0.01,10.745,10.665,10.7575,10.745,"spot","DRGNBULL","USD","",false,true,0,0.046760837798343884,0.07476869217304326,86.7521,86.7521
"DRGNHALF/USD",true,false,1,0.00001,0.00001,16626,18513,18576,18513,"spot","DRGNHALF","USD","",false,true,-0.0011869436201780415,0.008278416208267523,0.011031620337502048,0,0
"DRGNHEDGE/USD",true,false,0.01,0.001,0.001,120.7,115.94,116.56,116.56,"spot","DRGNHEDGE","USD","",false,true,0.0017188037126160192,-0.017449211835117592,-0.02313107609788803,0,0
"EOSBEAR/USD",true,false,5e-8,1000,1000,0.00011465,0.0001137,0.00011475,0.00011465,"spot","EOSBEAR","USD","",false,true,0.007026789635485288,-0.07465698143664246,-0.053652496904663644,1950.355,1950.355
"EOSBEAR/USDT",true,false,5e-8,1000,1000,0.00011165,0.0001136,0.0001147,0.0001136,"spot","EOSBEAR","USDT","",false,true,-0.0013186813186813187,-0.08681672025723473,-0.05804311774461028,1035.096,1035.00985931088
"EOSBULL/USD",true,false,5e-7,100,100,0.0019,0.0018765,0.001885,0.001885,"spot","EOSBULL","USD","",false,true,-0.003963011889035667,0.07899255867200916,0.05484051482932289,25346.3838,25346.3838
"EOSBULL/USDT",true,false,5e-7,100,100,0.0019,0.001877,0.001884,0.001884,"spot","EOSBULL","USDT","",false,true,-0.00211864406779661,0.0768791083166619,0.05961754780652419,15962.8836,15961.555168826808
"EOSHALF/USD",true,false,0.5,0.00001,0.00001,8953.5,8931.5,8948,8948,"spot","EOSHALF","USD","",false,true,-0.0006142849165130954,0.014800113410830734,0.010730825708799277,27883.41211,27883.41211
"EOSHEDGE/USD",true,false,0.025,0.001,0.001,221.65,223.1,223.5,223.1,"spot","EOSHEDGE","USD","",false,true,0.0007850173825277559,-0.026614310645724257,-0.019448412262388748,590.43155,590.43155
"ETCBEAR/USD",true,false,1e-8,100000,100000,3.2e-7,3.2e-7,3.3e-7,3.2e-7,"spot","ETCBEAR","USD","",false,true,0,-0.030303030303030304,-0.058823529411764705,890.833,890.833
"ETCBULL/USD",true,false,0.005,0.01,0.01,23.41,23.41,23.475,23.41,"spot","ETCBULL","USD","",false,true,-0.008680923142070718,0.01760486850684634,0.023611718408395276,50529.9066,50529.9066
